Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,ID
0.5431183416841718,0.4831428692005648,0.5018364331925811,0.5381977244318588,0.5108534185331088,6266aa7132e3a5bf1631ac1b
0.5505271880842509,0.4830869132415672,0.5176943214530577,0.5420328677996984,0.5021970196848263,5c4d1a6c9ce35100019dbc88
0.5317768343037067,0.4828558416112886,0.4991773615969771,0.5364502934346135,0.515120231742929,610081ebf9f870b4213e06cb
0.5263857424181896,0.48264674881911046,0.4956261647498029,0.5366767256815417,0.5160445995889731,5e0b388b15ef4037cebdecc9
0.5597071001062316,0.48107130183976243,0.4996937171819734,0.5269134468683707,0.5015040324496874,609551c1ade88f8463666fb8
0.5339867056491444,0.48212059811245717,0.4979039167386149,0.5361196492528821,0.5137485050003648,6755a3be7a9f11833ec1fba2
0.524479522415575,0.482697966843356,0.4951279274436991,0.5360049963524883,0.5177021462854748,67ab317d4245c4e2b33e2753
0.5276268241582153,0.48186886511887017,0.4987475868427903,0.5365528568616095,0.5153483824876421,67ef5e1ea8330a7744f39e17
0.5250765492603613,0.48213753347049293,0.49570080795849913,0.5361233340348445,0.5173231177508957,67eaa46b7bb6cbefdcbde74c
0.5248623944292738,0.48295018922978245,0.4980667772076588,0.5370275871879496,0.5145874648998771,674eb1f770104c02bab8b987
0.5244702690389754,0.48203060940294007,0.49464464691652416,0.5358534630866016,0.5179545130035763,6658d49af0f0787f8c8132b9
0.5632907166784512,0.4809977212461761,0.5445708563790495,0.54508123847267,0.5046627873823744,66117731dd2d071debd435a4
0.5411818817761503,0.484362505672377,0.5036113621752423,0.5369753970977873,0.5087628049317422,67e567d4265ecb014e6b298b
0.5418370870789171,0.48283660971688125,0.4970649163703144,0.5354565951277851,0.5094294329640983,66463e4efb99fba5a67a010a
0.5933137892456521,0.4861030083690778,0.505824455309002,0.5303601208725635,0.49115615211207686,5bb4d7270c8de800012a9dbf
0.5253283121802774,0.48292895404981107,0.49659152157825465,0.5370451485816041,0.5169860334170937,694182e24a25c80a2fcd65f4
0.5361732524734535,0.4838230062282781,0.4979751353851868,0.538427841911297,0.5112246281691669,66e8e576357d882730f188cd
0.5231620046721785,0.48270364922991105,0.4937417538189271,0.5355994372310695,0.5185010989181551,67e494e108181d6621738771
0.5999991386950502,0.48138204076782376,0.48706454262132526,0.5218945283400425,0.48699106955207816,678d1117ee7d6bf82b559edc
